Experiment set,Experiment,Num Repeptitions,-+-+-+,Experiment config,+-+-+-,Percentage energies consumed,Average energies consumed per move,Agent 1 average dX/dT,Agent 1 average dY/dT,Agent 2 average dX/dT,Agent 2 average dY/dT,Agent 3 average dX/dT,Agent 3 average dY/dT,Agent 4 average dX/dT,Agent 4 average dY/dT
1,1,30,-+-+-+,num_obstacles-0,+-+-+-,96.17,0.38,1.92,1.38,,,,,,
1,2,30,-+-+-+,num_obstacles-5,+-+-+-,94.67,0.38,1.65,1.27,,,,,,
1,3,30,-+-+-+,num_obstacles-10,+-+-+-,94.33,0.38,1.77,1.25,,,,,,
1,4,30,-+-+-+,num_obstacles-20,+-+-+-,76.67,0.31,1.51,1.05,,,,,,
2,1,30,-+-+-+,num_energies-5,+-+-+-,58.67,0.06,1.64,0.98,,,,,,
2,2,30,-+-+-+,num_energies-10,+-+-+-,74.33,0.15,1.57,0.95,,,,,,
2,3,30,-+-+-+,num_energies-20,+-+-+-,85,0.34,1.5,0.93,,,,,,
2,4,30,-+-+-+,num_energies-40,+-+-+-,93.08,0.74,1.31,1,,,,,,
3,1,30,-+-+-+,agent_choice-1,+-+-+-,16,0.06,0.12,0.09,,,,,,
3,2,30,-+-+-+,agent_choice-2,+-+-+-,68.17,0.27,1.36,1.22,,,,,,
3,3,30,-+-+-+,agent_choice-3,+-+-+-,83,0.33,1.45,1.01,,,,,,
4,1,30,-+-+-+,max_num_lookaheads-1,+-+-+-,87.83,0.35,1.63,0.97,,,,,,
4,2,30,-+-+-+,max_num_lookaheads-2,+-+-+-,86.5,0.35,1.68,0.98,,,,,,
4,3,30,-+-+-+,max_num_lookaheads-3,+-+-+-,88.5,0.35,1.62,1.07,,,,,,
5,1,30,-+-+-+,max_energy_to_replicate-200,+-+-+-,86.38,0.35,1.5,0.87,,,,,,
5,2,30,-+-+-+,max_energy_to_replicate-400,+-+-+-,90,0.36,1.57,0.95,,,,,,
5,3,30,-+-+-+,max_energy_to_replicate-600,+-+-+-,83.5,0.33,1.37,1.07,,,,,,
5,4,30,-+-+-+,max_energy_to_replicate-800,+-+-+-,82.33,0.33,1.48,1.08,,,,,,
6,1,30,-+-+-+,y_bound-10,+-+-+-,84.17,0.34,1.01,0.67,,,,,,
6,2,30,-+-+-+,y_bound-15,+-+-+-,87.33,0.35,1.54,0.92,,,,,,
6,3,30,-+-+-+,y_bound-30,+-+-+-,84,0.34,2.97,2.42,,,,,,
6,4,30,-+-+-+,y_bound-60,+-+-+-,63.33,0.25,7.14,4.6,,,,,,
7,1,30,-+-+-+,num_agents-1,+-+-+-,77.33,0.31,1.62,0.99,,,,,,
7,2,30,-+-+-+,num_agents-2,+-+-+-,95.33,0.38,1.6,0.98,1.58,1.01,,,,
7,3,30,-+-+-+,num_agents-3,+-+-+-,97.83,0.39,1.62,1.18,1.73,1.02,1.73,1,,
7,4,30,-+-+-+,num_agents-4,+-+-+-,96.17,0.38,1.6,1,1.79,0.94,1.72,1.03,1.54,0.96
8,1,30,-+-+-+,num_predators-0,+-+-+-,92.5,0.37,1.56,0.96
8,2,30,-+-+-+,num_predators-1,+-+-+-,33.83,0.14,0.27,0.26
8,3,30,-+-+-+,num_predators-2,+-+-+-,25.33,0.1,0.24,0.28
