Time Steps	X-bound	Y-bound	# Agents	# Obstacles	# Energies	Seek Energy?	Energy 1 X-Pos	Energy 1 Y-Pos	Energy 2 X-Pos	Energy 2 Y-Pos	Energy 3 X-Pos	Energy 3 Y-Pos	Energy 4 X-Pos	Energy 4 Y-Pos	Energy 5 X-Pos	Energy 5 Y-Pos	Energy 6 X-Pos	Energy 6 Y-Pos	Energy 7 X-Pos	Energy 7 Y-Pos	Energy 8 X-Pos	Energy 8 Y-Pos	Energy 9 X-Pos	Energy 9 Y-Pos	Energy 10 X-Pos	Energy 10 Y-Pos	Energy 11 X-Pos	Energy 11 Y-Pos	Energy 12 X-Pos	Energy 12 Y-Pos	Energy 13 X-Pos	Energy 13 Y-Pos	Energy 14 X-Pos	Energy 14 Y-Pos	Energy 15 X-Pos	Energy 15 Y-Pos	Energy 16 X-Pos	Energy 16 Y-Pos	Energy 17 X-Pos	Energy 17 Y-Pos	Energy 18 X-Pos	Energy 18 Y-Pos	Energy 19 X-Pos	Energy 19 Y-Pos	Energy 20 X-Pos	Energy 20 Y-Pos	
50	15	15	1	0	20	true	10	15	12	1	7	14	13	15	1	10	8	13	9	10	14	12	5	15	12	3	3	12	4	8	14	6	14	3	11	3	15	3	8	11	10	9	2	14	11	10	
Time Step	# Energies Remaining	Agent 1 X-Pos	Agent 1 Y-Pos	
0	20	7	12	
1	20	8	12	
2	19	8	11	
3	19	9	11	
4	18	9	10	
5	18	10	10	
6	17	10	9	
7	17	11	9	
8	16	11	10	
9	16	14	10	
10	15	14	12	
11	15	13	12	
12	15	10	12	
13	15	8	12	
14	14	8	13	
15	14	7	13	
16	13	7	14	
